epoch,phase,loss,accuracy
   Excitement,train,acc,0.8559
   Sadness,train,acc,0.8559

26,val,0.0499,0.9487
   Anxious,val,acc,0.8752
   Excitement,val,acc,0.9971
   Sadness,val,acc,0.9739

27,train,0.1007,0.8696
   Anxious,train,acc,0.9050
   Excitement,train,acc,0.8783
   Sadness,train,acc,0.8255

27,val,0.0606,0.9284
   Anxious,val,acc,1.0000
   Excitement,val,acc,0.9274
   Sadness,val,acc,0.8578

28,train,0.0874,0.8774
   Anxious,train,acc,0.9118
   Excitement,train,acc,0.8969
   Sadness,train,acc,0.8236

28,val,0.0221,0.9744
   Anxious,val,acc,0.9405
   Excitement,val,acc,0.9869
   Sadness,val,acc,0.9956

29,train,0.0837,0.8818
   Anxious,train,acc,0.9255
   Excitement,train,acc,0.8677
   Sadness,train,acc,0.8522

29,val,0.0387,0.9569
   Anxious,val,acc,0.9927
   Excitement,val,acc,0.9971
   Sadness,val,acc,0.8810

30,train,0.0817,0.8843
   Anxious,train,acc,0.9323
   Excitement,train,acc,0.8783
   Sadness,train,acc,0.8422

30,val,0.0252,0.9773
   Anxious,val,acc,0.9739
   Excitement,val,acc,0.9739
   Sadness,val,acc,0.9840

31,train,0.0906,0.8781
   Anxious,train,acc,0.9124
   Excitement,train,acc,0.9043
   Sadness,train,acc,0.8174

31,val,0.0109,0.9874
   Anxious,val,acc,0.9942
   Excitement,val,acc,0.9927
   Sadness,val,acc,0.9753

32,train,0.0941,0.8714
   Anxious,train,acc,0.9106
   Excitement,train,acc,0.8863
   Sadness,train,acc,0.8174

32,val,0.0257,0.9724
   Anxious,val,acc,0.9492
   Excitement,val,acc,0.9884
   Sadness,val,acc,0.9797

33,train,0.1000,0.8681
   Anxious,train,acc,0.9298
   Excitement,train,acc,0.8677
   Sadness,train,acc,0.8068

33,val,0.0245,0.9748
   Anxious,val,acc,0.9666
   Excitement,val,acc,0.9884
   Sadness,val,acc,0.9695

34,train,0.1727,0.8126
   Anxious,train,acc,0.8571
   Excitement,train,acc,0.8286
   Sadness,train,acc,0.7522

34,val,2.9322,0.3333
   Anxious,val,acc,1.0000
   Excitement,val,acc,0.0000
   Sadness,val,acc,0.0000

35,train,0.2630,0.6988
   Anxious,train,acc,0.7857
   Excitement,train,acc,0.7118
   Sadness,train,acc,0.5988

35,val,0.0699,0.9361
   Anxious,val,acc,0.9855
   Excitement,val,acc,0.8665
   Sadness,val,acc,0.9565

36,train,0.1180,0.8464
   Anxious,train,acc,0.8925
   Excitement,train,acc,0.8627
   Sadness,train,acc,0.7839

36,val,0.1112,0.8539
   Anxious,val,acc,0.9695
   Excitement,val,acc,0.6270
   Sadness,val,acc,0.9652

37,train,0.1005,0.8671
   Anxious,train,acc,0.9261
   Excitement,train,acc,0.8584
   Sadness,train,acc,0.8168

37,val,0.0351,0.9627
   Anxious,val,acc,0.9956
   Excitement,val,acc,0.9753
   Sadness,val,acc,0.9173

38,train,0.2552,0.7571
   Anxious,train,acc,0.8012
   Excitement,train,acc,0.7590
   Sadness,train,acc,0.7112

38,val,0.6462,0.3333
   Anxious,val,acc,1.0000
   Excitement,val,acc,0.0000
   Sadness,val,acc,0.0000

39,train,0.4657,0.4988
   Anxious,train,acc,0.4671
   Excitement,train,acc,0.6168
   Sadness,train,acc,0.4124

39,val,0.3089,0.7025
   Anxious,val,acc,0.8229
   Excitement,val,acc,0.6270
   Sadness,val,acc,0.6575

40,train,0.1909,0.7613
   Anxious,train,acc,0.8006
   Excitement,train,acc,0.8062
   Sadness,train,acc,0.6770

40,val,0.0746,0.9187
   Anxious,val,acc,0.9681
   Excitement,val,acc,0.9913
   Sadness,val,acc,0.7968

41,train,0.1253,0.8424
   Anxious,train,acc,0.8770
   Excitement,train,acc,0.8379
   Sadness,train,acc,0.8124

41,val,0.0234,0.9710
   Anxious,val,acc,0.9797
   Excitement,val,acc,0.9971
   Sadness,val,acc,0.9361

