epoch,phase,loss,accuracy
   Sadness,train,acc,0.3913

21,val,0.1287,0.7355
   Angry,val,acc,0.9811
   Anxious,val,acc,0.9753
   Excitement,val,acc,0.9797
   Sadness,val,acc,0.0058

22,train,0.2789,0.6416
   Angry,train,acc,0.3503
   Anxious,train,acc,0.8913
   Excitement,train,acc,0.8571
   Sadness,train,acc,0.4677

22,val,0.1452,0.7275
   Angry,val,acc,0.9390
   Anxious,val,acc,0.9898
   Excitement,val,acc,0.9811
   Sadness,val,acc,0.0000

23,train,0.2618,0.6539
   Angry,train,acc,0.4478
   Anxious,train,acc,0.8957
   Excitement,train,acc,0.8640
   Sadness,train,acc,0.4081

23,val,0.1558,0.7271
   Angry,val,acc,0.0029
   Anxious,val,acc,0.9956
   Excitement,val,acc,0.9956
   Sadness,val,acc,0.9144

24,train,0.2487,0.6474
   Angry,train,acc,0.4099
   Anxious,train,acc,0.9006
   Excitement,train,acc,0.8696
   Sadness,train,acc,0.4093

24,val,0.1112,0.7406
   Angry,val,acc,0.9753
   Anxious,val,acc,0.9956
   Excitement,val,acc,0.9898
   Sadness,val,acc,0.0015

25,train,0.2307,0.6620
   Angry,train,acc,0.4398
   Anxious,train,acc,0.9124
   Excitement,train,acc,0.9000
   Sadness,train,acc,0.3957

25,val,0.1473,0.7319
   Angry,val,acc,0.9797
   Anxious,val,acc,0.9971
   Excitement,val,acc,0.9507
   Sadness,val,acc,0.0000

26,train,0.2353,0.6665
   Angry,train,acc,0.4627
   Anxious,train,acc,0.9137
   Excitement,train,acc,0.8876
   Sadness,train,acc,0.4019

26,val,0.1877,0.7195
   Angry,val,acc,0.0000
   Anxious,val,acc,0.9971
   Excitement,val,acc,0.9710
   Sadness,val,acc,0.9100

27,train,0.2242,0.6644
   Angry,train,acc,0.4261
   Anxious,train,acc,0.9075
   Excitement,train,acc,0.8882
   Sadness,train,acc,0.4360

27,val,0.2728,0.6760
   Angry,val,acc,0.0232
   Anxious,val,acc,0.9927
   Excitement,val,acc,0.9260
   Sadness,val,acc,0.7620

28,train,0.2188,0.6626
   Angry,train,acc,0.4106
   Anxious,train,acc,0.9149
   Excitement,train,acc,0.8957
   Sadness,train,acc,0.4292

28,val,0.1247,0.7300
   Angry,val,acc,0.0508
   Anxious,val,acc,0.9971
   Excitement,val,acc,0.9840
   Sadness,val,acc,0.8882

29,train,0.2232,0.6720
   Angry,train,acc,0.4584
   Anxious,train,acc,0.9143
   Excitement,train,acc,0.9068
   Sadness,train,acc,0.4087

29,val,0.1687,0.6988
   Angry,val,acc,0.6749
   Anxious,val,acc,0.9100
   Excitement,val,acc,0.9448
   Sadness,val,acc,0.2656

30,train,0.2352,0.6669
   Angry,train,acc,0.4248
   Anxious,train,acc,0.8975
   Excitement,train,acc,0.8615
   Sadness,train,acc,0.4839

30,val,0.1844,0.7046
   Angry,val,acc,0.0015
   Anxious,val,acc,0.9985
   Excitement,val,acc,0.9942
   Sadness,val,acc,0.8244

31,train,0.2208,0.6711
   Angry,train,acc,0.4031
   Anxious,train,acc,0.9286
   Excitement,train,acc,0.8901
   Sadness,train,acc,0.4627

31,val,0.1153,0.7427
   Angry,val,acc,0.0000
   Anxious,val,acc,0.9956
   Excitement,val,acc,0.9898
   Sadness,val,acc,0.9855

32,train,0.2746,0.6467
   Angry,train,acc,0.3863
   Anxious,train,acc,0.9112
   Excitement,train,acc,0.8646
   Sadness,train,acc,0.4248

32,val,0.1234,0.7329
   Angry,val,acc,0.9492
   Anxious,val,acc,0.9942
   Excitement,val,acc,0.9869
   Sadness,val,acc,0.0015

33,train,0.5428,0.5356
   Angry,train,acc,0.3658
   Anxious,train,acc,0.7348
   Excitement,train,acc,0.6988
   Sadness,train,acc,0.3429

33,val,0.3067,0.6440
   Angry,val,acc,0.5704
   Anxious,val,acc,0.9840
   Excitement,val,acc,0.8897
   Sadness,val,acc,0.1321

34,train,0.3149,0.6193
   Angry,train,acc,0.4453
   Anxious,train,acc,0.8540
   Excitement,train,acc,0.8093
   Sadness,train,acc,0.3683

34,val,0.3210,0.6270
   Angry,val,acc,0.3120
   Anxious,val,acc,0.9971
   Excitement,val,acc,0.5704
   Sadness,val,acc,0.6284

35,train,0.2563,0.6550
   Angry,train,acc,0.4087
   Anxious,train,acc,0.8925
   Excitement,train,acc,0.8422
   Sadness,train,acc,0.4764

35,val,0.1665,0.7362
   Angry,val,acc,0.9695
   Anxious,val,acc,0.9840
   Excitement,val,acc,0.9913
   Sadness,val,acc,0.0000

36,train,0.2344,0.6677
   Angry,train,acc,0.4497
   Anxious,train,acc,0.9124
   Excitement,train,acc,0.8609
   Sadness,train,acc,0.4478

36,val,0.1541,0.7202
   Angry,val,acc,0.0015
   Anxious,val,acc,0.9971
   Excitement,val,acc,0.8999
   Sadness,val,acc,0.9826

37,train,0.2273,0.6666
   Angry,train,acc,0.4124
   Anxious,train,acc,0.9137
   Excitement,train,acc,0.9075
   Sadness,train,acc,0.4329

37,val,0.1150,0.7377
   Angry,val,acc,0.9448
   Anxious,val,acc,0.9782
   Excitement,val,acc,0.9927
   Sadness,val,acc,0.0348

38,train,0.2259,0.6671
   Angry,train,acc,0.4441
   Anxious,train,acc,0.9068
   Excitement,train,acc,0.8894
   Sadness,train,acc,0.4280

38,val,0.1090,0.7417
   Angry,val,acc,0.9768
   Anxious,val,acc,0.9927
   Excitement,val,acc,0.9898
   Sadness,val,acc,0.0073

39,train,0.2154,0.6804
   Angry,train,acc,0.4714
